,Abbotts babbler,Abbotts booby,Abyssinian ground hornbill,African emerald cuckoo,African firefinch,African oystercatcher,African pygmy goose,African pygmy kingfisher,Albatross,Alberts towhee,Alexandrine parakeet,Alpine chough,Altamira yellowthroat,American avocet,American bittern,American coot,American dipper,American flamingo,American goldfinch,American kestrel,American redstart,American robin,American wigeon,Amethyst woodstar,Andean goose,Andean lapwing,Andean siskin,Anhinga,Anianiau,Annas hummingbird,Antbird,Apapane,Apostlebird,Araripe manakin,Ashy storm petrel,Ashy thrush,Asian fairy-bluebird,Asian green bee-eater,Asian openbill,Atlantic canary,Auckland shag,Austral canastero,Australasian figbird,Australian brushturkey,Azaras spinetail,Azure jay,Azure tit,Azure-breasted pitta,Azure-shouldered tanager,Precision,Recall,f1-score
Abbotts babbler,0,2,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,1,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0
Abbotts booby,1,2,0,0,2,1,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0.06451612903225806,0.09494640122511484,0.0768277571251549
Abyssinian ground hornbill,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,0,1,0,2,0,1,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0.0,0.0,0.0
African emerald cuckoo,0,0,0,2,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,1,2,0,0,0,0,1,1,0,3,0,0,0,0,0,1,0,1,1,0,0,0.1,0.0947867298578199,0.09732360097323602
African firefinch,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,0,1,0,0,1,1,1,0,0,0,3,1,0,0.02702702702702703,0.04755784061696658,0.034466697717745694
African oystercatcher,1,1,0,1,0,0,0,2,0,0,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,0.0,0.0,0.0
African pygmy goose,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,2,1,0,0,0,0,2,2,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0
African pygmy kingfisher,0,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0,3,0,1,0,2,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.047619047619047616,0.04751131221719457,0.04756511891279728
Albatross,2,0,1,0,1,0,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0.0,0.0,0.0
Alberts towhee,0,0,0,0,0,0,0,0,2,0,0,0,1,2,0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,0.0,0.0,0.0
