Timestamp,cpu_usage,memory_usage,disk_usage,network_sent,network_recv,swap_usage,process_count
2024-08-05 17:52:13,8.3,35.6,10.1,14066590,320016783,0.1,226
2024-08-05 17:52:19,3.7,38.4,10.1,14066993,320017225,0.1,226
2024-08-05 17:52:25,6.5,38.3,10.1,14067154,320017397,0.1,226
2024-08-05 17:52:32,5.4,38.9,10.1,14073263,320024999,0.1,226
2024-08-05 17:52:38,3.8,38.9,10.1,14073349,320025085,0.1,226
2024-08-05 17:52:44,4.5,39.7,10.1,14074213,320025085,0.1,226
2024-08-05 17:52:50,5.1,40.1,10.1,14074949,320025527,0.1,226
2024-08-05 17:52:56,5.0,40.5,10.1,14075141,320025797,0.1,226
2024-08-05 17:53:02,5.1,40.9,10.1,14075489,320026172,0.1,226
2024-08-05 17:53:08,4.4,40.9,10.1,14075544,320026238,0.1,226
